race,age,engnat,gender,hand,source,country,E1,E2,E3,E4,E5,E6,E7,E8,E9,E10,N1,N2,N3,N4,N5,N6,N7,N8,N9,N10,A1,A2,A3,A4,A5,A6,A7,A8,A9,A10,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,O1,O2,O3,O4,O5,O6,O7,O8,O9,O10,E,N,A,C,O,E%,N%,A%,C%,O%
Caucasian (European),20,Yes,Male,Right,Another page,US,1,5,2,5,2,2,1,5,2,5,3,3,3,4,3,2,2,2,2,2,2,2,2,4,4,2,4,2,3,2,4,4,4,4,2,2,4,2,4,4,4,2,5,2,4,1,4,3,4,4,16,24,27,34,41,32.0,48.0,54.0,68.0,82.0
Mixed Race,18,No,Female,Right,Another page,CA,3,2,3,3,3,3,2,3,4,5,2,5,3,5,2,2,3,2,2,1,1,4,3,5,1,3,1,3,4,4,2,3,4,2,1,4,4,3,4,2,4,2,4,2,2,1,3,4,5,2,29,19,41,29,37,58.0,38.0,82.0,58.0,74.0
Mixed Race,16,No,Male,Right,Another page,PH,3,1,3,5,1,3,1,5,1,5,3,5,4,4,2,5,5,5,5,3,4,3,4,4,3,3,2,4,3,2,3,4,5,5,2,4,3,3,5,3,5,5,5,5,5,1,5,5,5,5,20,35,30,29,42,40.0,70.0,60.0,58.0,84.0
Caucasian (European),34,Yes,Female,Right,Other or not provided,US,4,2,4,2,4,2,3,3,2,2,4,3,5,2,4,4,4,4,4,3,1,3,3,3,3,3,3,4,4,3,5,1,5,3,3,1,5,3,3,4,4,3,5,1,4,1,3,4,4,4,36,39,34,41,41,72.0,78.0,68.0,82.0,82.0
Caucasian (Middle East),14,Yes,Female,Right,Another page,CA,2,5,2,5,4,5,1,3,1,5,5,5,5,5,4,5,4,4,4,5,4,4,1,5,1,5,1,5,3,4,4,4,5,4,3,3,3,3,4,3,3,4,5,1,5,1,2,2,3,5,17,38,43,32,37,34.0,76.0,86.0,64.0,74.0
Caucasian (European),14,Yes,Female,Right,Another page,US,3,3,3,2,4,3,2,2,5,3,5,1,5,5,5,5,5,5,5,5,1,5,4,5,1,3,3,3,4,3,1,5,3,5,1,5,3,5,1,1,3,1,5,1,4,1,4,5,5,4,34,46,38,14,45,68.0,92.0,76.0,28.0,90.0
Caucasian (European),43,Yes,Female,Right,Other or not provided,US,4,1,4,1,4,1,4,2,4,2,2,5,2,4,2,2,2,2,2,1,2,4,4,3,3,2,3,2,3,2,2,4,2,4,2,4,2,2,2,3,2,1,5,2,4,1,4,2,4,5,43,18,28,23,40,86.0,36.0,56.0,46.0,80.0
Caucasian (European),47,Yes,Male,Right,Another page,NZ,4,2,4,2,5,2,4,2,5,2,2,3,3,3,2,2,2,2,3,2,1,5,2,4,2,4,1,3,4,4,4,2,3,1,4,2,5,2,4,3,4,1,4,1,4,1,5,5,3,5,42,24,42,40,45,84.0,48.0,84.0,80.0,90.0
South East Asian,25,No,Female,Both,Another page,PH,1,5,2,3,1,1,1,5,2,5,2,4,3,2,2,1,2,2,4,2,3,5,4,2,3,2,1,5,5,1,3,2,5,1,1,1,3,3,2,3,3,1,3,1,5,1,5,4,5,5,18,24,33,34,45,36.0,48.0,66.0,68.0,90.0
Caucasian (European),18,Yes,Female,Right,Google,US,3,3,4,4,4,1,4,5,2,5,2,3,3,4,3,1,3,1,4,1,2,4,2,3,2,2,2,2,3,3,4,5,3,3,5,5,3,2,4,4,3,2,5,1,4,1,4,4,5,5,29,23,33,32,44,58.0,46.0,66.0,64.0,88.0
Mixed Race,25,Yes,Male,Right,Another page,US,4,2,5,2,5,1,5,3,5,2,2,4,3,3,1,3,2,2,4,2,4,4,4,5,2,1,2,4,5,5,3,4,5,3,1,2,2,3,4,3,3,2,5,2,4,1,5,4,4,5,44,24,36,30,43,88.0,48.0,72.0,60.0,86.0
Caucasian (European),26,Yes,Female,Right,Another page,US,3,2,4,2,5,3,3,3,3,3,1,4,2,5,1,1,1,1,1,1,1,2,1,4,3,4,2,4,2,3,4,1,5,1,5,1,4,1,5,3,4,1,3,3,4,3,5,3,3,4,35,12,36,46,37,70.0,24.0,72.0,92.0,74.0
Caucasian (European),30,Yes,Female,Right,Another page,GB,3,2,4,2,4,1,4,4,3,3,5,4,5,2,4,4,2,2,5,3,1,4,2,5,2,4,2,4,5,5,5,2,5,4,4,2,5,2,5,4,5,2,4,2,4,1,5,5,5,4,36,36,44,42,45,72.0,72.0,88.0,84.0,90.0
Mixed Race,14,Yes,Male,Right,Another page,US,4,3,4,3,4,2,2,3,3,4,4,3,4,3,2,3,4,3,3,3,1,5,1,4,1,3,1,3,4,4,2,4,3,3,4,4,3,2,2,2,5,1,5,1,3,1,5,4,4,5,32,32,43,27,46,64.0,64.0,86.0,54.0,92.0
"Caucasian (North African, Other)",24,Yes,Female,Right,Another page,US,3,1,4,1,4,2,4,3,5,1,5,3,5,3,3,2,3,3,3,3,2,4,3,4,3,4,2,3,4,4,3,2,3,2,3,2,3,2,4,4,1,5,4,4,3,2,3,2,4,3,42,33,37,36,27,84.0,66.0,74.0,72.0,54.0
Other,20,No,Female,Right,Google,US,2,3,3,4,2,3,3,1,1,3,4,2,5,1,3,4,4,3,4,5,5,5,1,3,2,3,2,3,3,3,4,5,4,4,2,4,3,2,1,3,3,2,5,2,2,2,3,3,4,3,27,41,34,26,35,54.0,82.0,68.0,52.0,70.0
Caucasian (European),46,Yes,Female,Right,Another page,AU,2,5,5,3,1,2,4,4,4,4,4,3,4,1,3,3,3,3,4,3,1,5,1,5,5,4,1,4,4,4,5,5,3,3,3,1,2,1,4,2,4,1,5,1,5,1,5,3,4,4,28,35,42,33,45,56.0,70.0,84.0,66.0,90.0
Caucasian (European),21,Yes,Female,Right,Another page,CA,2,3,3,4,2,2,1,3,4,5,3,5,4,2,3,4,4,3,5,4,2,4,3,4,4,3,2,2,3,3,3,4,4,4,1,3,3,4,2,5,4,2,5,2,4,2,2,4,5,4,25,35,32,27,40,50.0,70.0,64.0,54.0,80.0
Caucasian (European),38,,Female,Right,Another page,GB,4,1,3,5,5,2,4,1,5,2,4,1,4,1,2,4,5,4,1,5,2,5,4,5,2,5,2,4,4,2,2,5,3,4,1,5,1,5,1,1,4,2,4,2,4,2,4,4,4,4,40,39,39,14,40,80.0,78.0,78.0,28.0,80.0
Caucasian (European),42,Yes,Female,Right,Another page,US,3,1,4,2,4,2,3,2,4,2,5,2,5,1,3,4,3,3,3,3,1,5,2,5,2,3,1,4,5,4,4,4,5,3,1,4,4,1,4,5,5,3,5,3,4,1,5,4,4,5,39,38,44,35,43,78.0,76.0,88.0,70.0,86.0
Caucasian (European),42,Yes,Male,Right,Another page,AU,2,3,3,2,1,1,1,2,5,5,1,5,1,1,4,1,1,1,2,4,2,2,2,3,2,2,3,3,3,3,1,3,1,2,2,3,1,2,1,1,5,1,5,1,5,1,5,4,5,5,29,21,31,21,49,58.0,42.0,62.0,42.0,98.0
Caucasian (European),15,Yes,Female,Left,Other or not provided,US,2,2,2,3,4,2,5,2,2,2,2,5,5,2,2,3,5,5,4,5,2,5,4,4,2,4,3,4,5,4,3,5,5,5,1,5,1,5,1,4,4,1,5,1,4,1,4,4,5,5,34,36,39,19,46,68.0,72.0,78.0,38.0,92.0
South East Asian,21,Yes,Female,Both,Another page,ID,2,4,3,3,5,3,5,3,5,5,5,1,5,4,1,5,5,5,5,5,4,2,3,3,5,4,4,4,1,4,5,2,5,4,4,5,4,5,5,5,5,2,4,2,5,1,5,5,1,5,32,43,26,36,43,64.0,86.0,52.0,72.0,86.0
Caucasian (European),49,Yes,Male,Both,Another page,CA,3,5,4,5,2,4,2,5,1,5,2,4,5,3,2,2,1,1,1,1,1,4,2,5,2,5,2,4,4,4,4,2,5,4,4,2,5,1,4,4,5,1,5,1,4,1,5,5,5,5,18,20,43,41,49,36.0,40.0,86.0,82.0,98.0
Caucasian (Indian),16,Yes,Female,Right,Google,IN,2,3,5,1,5,2,3,4,3,4,3,4,1,5,2,5,4,3,2,3,2,4,3,5,4,3,4,3,4,3,3,4,5,3,3,4,3,4,3,2,3,3,5,5,1,5,3,4,3,2,34,26,33,28,26,68.0,52.0,66.0,56.0,52.0
Caucasian (European),17,Yes,Male,Right,Another page,US,1,4,2,5,1,4,1,5,1,5,3,4,4,3,1,1,3,3,2,3,1,5,2,4,4,3,1,3,2,3,2,5,3,4,1,4,5,5,3,3,4,3,4,2,3,1,3,4,4,3,13,25,36,23,37,26.0,50.0,72.0,46.0,74.0
South East Asian,53,Yes,Female,Right,Another page,US,2,4,3,4,3,3,2,4,3,4,4,2,4,3,4,4,2,2,4,2,1,5,1,4,2,4,2,4,4,4,4,4,5,2,2,3,4,2,2,4,4,2,3,2,4,2,4,4,4,4,24,33,43,34,39,48.0,66.0,86.0,68.0,78.0
Caucasian (European),37,Yes,Female,Right,Another page,US,3,2,4,2,5,1,3,4,3,2,2,2,4,2,4,3,3,2,4,3,2,5,3,4,1,2,1,4,5,5,4,4,4,3,2,1,4,1,3,4,4,1,5,2,5,1,5,4,5,5,37,33,42,36,47,74.0,66.0,84.0,72.0,94.0
Caucasian (European),18,Yes,Female,Right,Another page,AU,3,2,5,2,4,1,4,2,4,2,2,4,2,4,2,2,2,2,3,2,1,5,2,5,1,4,1,5,5,4,4,3,4,3,4,3,3,2,3,3,3,2,4,1,4,2,4,3,4,4,41,21,47,34,39,82.0,42.0,94.0,68.0,78.0
Caucasian (Indian),23,No,Female,Right,Another page,IN,4,3,5,3,4,1,5,4,4,2,2,4,4,4,3,2,4,4,2,2,1,4,3,5,1,3,1,4,5,5,5,1,5,1,4,1,5,1,4,5,3,1,5,1,4,1,4,1,4,4,39,27,44,48,40,78.0,54.0,88.0,96.0,80.0
Caucasian (Indian),21,Yes,Female,Right,Another page,IN,1,2,1,3,2,3,1,5,1,5,5,3,5,4,1,1,1,1,1,3,5,4,1,4,5,5,5,3,2,3,4,4,4,2,3,5,5,3,2,3,3,5,1,3,1,4,2,1,2,3,18,23,29,31,19,36.0,46.0,58.0,62.0,38.0
Caucasian (European),34,No,Female,Left,Another page,DE,3,2,3,4,4,2,3,5,2,2,4,2,2,1,4,2,5,5,3,5,2,4,1,4,2,3,2,4,5,4,1,4,5,5,1,2,1,4,1,4,5,1,4,2,3,2,5,4,5,4,30,39,41,22,43,60.0,78.0,82.0,44.0,86.0
Caucasian (Indian),35,No,Male,Right,Another page,IN,5,3,3,3,3,4,4,4,2,2,5,5,3,3,3,4,5,5,3,3,5,5,3,4,3,5,2,3,3,3,3,2,4,2,3,4,2,3,3,3,2,5,3,3,3,2,3,3,3,3,31,35,34,31,28,62.0,70.0,68.0,62.0,56.0
Mixed Race,57,Yes,Female,Right,Google,US,3,4,4,3,3,3,3,4,2,5,3,3,3,3,3,3,3,2,2,2,2,4,2,3,3,4,3,4,3,3,1,4,5,1,2,2,4,4,2,5,4,2,5,2,5,1,4,3,4,4,26,27,35,32,42,52.0,54.0,70.0,64.0,84.0
South East Asian,25,No,Female,Left,Another page,PH,3,4,4,4,4,3,3,4,1,4,4,4,4,3,4,4,3,4,4,3,5,5,3,5,3,5,3,4,4,5,4,3,5,2,4,4,4,3,4,4,5,4,5,3,5,1,5,3,3,5,26,35,38,37,41,52.0,70.0,76.0,74.0,82.0
Caucasian (Indian),25,No,Female,Right,Another page,GB,3,4,5,5,5,3,5,4,1,5,3,4,5,5,5,5,5,5,5,2,5,5,3,4,3,5,1,5,4,5,3,1,4,3,4,5,3,4,3,5,1,2,5,5,4,1,4,5,3,4,28,38,40,33,36,56.0,76.0,80.0,66.0,72.0
South East Asian,25,No,Female,Right,Another page,PH,1,4,4,4,4,4,2,4,5,4,4,4,4,4,4,4,2,4,4,4,5,4,1,4,2,4,2,4,5,4,4,4,5,4,4,4,2,4,5,4,4,4,5,4,4,2,4,1,4,4,26,34,39,32,34,52.0,68.0,78.0,64.0,68.0
South East Asian,27,No,Female,Right,Another page,PH,3,1,4,2,5,1,5,2,5,2,3,4,5,2,3,3,3,3,2,2,1,4,1,4,1,5,1,4,5,5,4,1,5,2,4,4,4,2,4,4,3,3,4,3,3,1,4,2,4,3,44,30,47,40,34,88.0,60.0,94.0,80.0,68.0
Mixed Race,54,Yes,Male,Right,Another page,US,1,5,1,5,1,1,1,5,1,5,4,4,4,4,4,4,2,2,4,2,5,1,4,1,5,1,5,1,1,2,4,1,5,5,5,1,5,1,5,5,5,4,5,4,4,1,5,4,3,3,14,30,12,45,38,28.0,60.0,24.0,90.0,76.0
Caucasian (European),25,Yes,Female,Right,Google,HK,2,2,4,2,4,1,3,2,4,3,4,3,5,1,4,4,4,4,5,4,1,5,4,5,1,4,1,5,5,3,5,2,5,1,2,2,5,1,2,5,5,1,5,1,4,1,5,5,5,5,37,42,44,42,49,74.0,84.0,88.0,84.0,98.0
South East Asian,42,No,Female,Right,Other or not provided,PH,3,3,5,4,4,2,3,4,3,4,3,5,4,4,3,2,3,1,2,1,1,5,1,5,3,5,2,5,4,4,5,1,5,1,4,1,5,1,5,4,5,2,4,2,4,1,4,3,4,5,31,22,45,48,42,62.0,44.0,90.0,96.0,84.0
Caucasian (European),30,Yes,Female,Right,Another page,US,3,3,2,3,4,2,4,2,2,2,2,2,4,2,1,2,4,2,4,4,1,5,2,5,1,4,1,5,5,3,4,2,5,3,4,1,4,1,4,4,5,2,5,2,4,1,5,5,5,4,33,31,46,42,46,66.0,62.0,92.0,84.0,92.0
South East Asian,19,No,Female,Right,Other or not provided,MY,3,1,3,3,4,1,3,4,3,4,4,3,3,3,3,1,4,3,3,3,2,3,1,3,3,5,3,3,4,4,3,1,5,2,3,3,5,1,2,3,3,3,5,3,4,1,4,3,3,5,33,30,37,38,38,66.0,60.0,74.0,76.0,76.0
Caucasian (Indian),27,No,Female,Right,Another page,IN,1,3,5,2,4,3,3,5,5,1,3,4,4,2,2,4,2,3,5,3,3,4,1,3,5,4,5,1,2,5,4,1,4,2,4,2,5,1,5,5,2,2,3,2,3,2,5,1,1,3,34,32,29,45,30,68.0,64.0,58.0,90.0,60.0
South East Asian,20,No,Female,Right,Another page,PH,2,4,4,3,2,4,4,4,4,4,2,4,4,4,2,4,2,2,2,2,5,2,1,4,2,4,4,4,4,4,4,4,4,4,4,4,1,2,4,4,3,4,4,4,2,4,4,2,4,4,27,24,34,31,29,54.0,48.0,68.0,62.0,58.0
South East Asian,28,No,Female,Right,Another page,PH,3,1,3,2,1,5,2,4,5,5,4,4,5,3,3,3,5,3,3,3,5,5,3,5,1,4,1,4,1,2,4,1,4,4,4,5,5,1,5,4,4,1,5,1,5,1,4,4,5,5,27,34,35,39,47,54.0,68.0,70.0,78.0,94.0
South East Asian,27,No,Male,Right,Another page,PH,4,3,3,4,4,2,4,3,3,3,2,2,4,4,2,3,3,3,2,3,2,4,2,4,2,4,2,3,4,3,4,3,3,2,3,3,3,3,4,4,3,1,4,1,5,2,4,2,3,5,33,28,38,34,40,66.0,56.0,76.0,68.0,80.0
Other,26,No,Female,Right,Another page,UG,4,3,5,1,4,3,3,4,1,3,3,3,4,3,2,2,1,1,1,2,2,5,2,5,1,4,1,5,4,5,3,3,4,3,4,3,3,1,3,4,4,5,4,4,3,2,4,1,3,4,33,22,46,35,30,66.0,44.0,92.0,70.0,60.0
Caucasian (European),23,Yes,Male,Right,Google,GB,2,3,4,3,4,3,3,4,3,3,4,4,5,3,3,3,2,1,3,2,2,4,2,4,2,5,2,4,4,3,3,3,4,2,2,4,5,3,4,4,5,3,5,1,4,1,3,5,5,3,30,28,40,34,43,60.0,56.0,80.0,68.0,86.0
Caucasian (Indian),28,Yes,Male,Right,Another page,IN,3,3,5,3,5,4,3,2,5,3,4,2,4,3,4,4,3,2,3,3,3,4,1,2,3,4,2,3,2,4,2,4,2,4,3,4,2,2,2,3,3,4,3,3,2,3,4,1,4,3,36,34,34,24,28,72.0,68.0,68.0,48.0,56.0
South East Asian,16,No,Male,Right,Another page,PH,1,3,4,3,4,1,2,1,3,4,2,4,3,1,3,2,3,3,2,3,1,3,3,5,3,5,3,3,5,5,5,1,5,1,5,1,5,1,5,5,4,2,5,3,5,1,5,4,5,5,32,28,40,50,45,64.0,56.0,80.0,100.0,90.0
Caucasian (European),41,No,Female,Right,Google,SE,4,2,4,3,5,1,4,2,3,4,4,3,5,2,3,3,2,3,4,4,1,5,1,5,2,4,2,4,5,5,5,1,5,4,5,1,5,1,4,5,5,3,4,2,5,1,4,4,5,5,38,35,46,46,44,76.0,70.0,92.0,92.0,88.0
Mixed Race,22,No,Female,Right,Another page,PH,1,5,2,5,2,5,1,5,2,5,1,3,4,5,4,4,2,1,3,3,1,4,1,5,2,5,4,5,4,3,4,1,5,1,4,4,5,2,5,2,4,2,4,1,5,1,3,4,5,5,13,26,42,41,44,26.0,52.0,84.0,82.0,88.0
South East Asian,27,No,Male,Right,Another page,MY,1,5,2,5,1,5,1,5,1,5,5,1,5,2,5,5,5,4,4,4,4,2,1,3,4,5,3,3,3,2,2,2,3,3,4,3,4,3,2,3,2,3,3,3,3,3,2,2,5,3,11,46,30,31,29,22.0,92.0,60.0,62.0,58.0
Caucasian (Middle East),20,No,Male,Right,Another page,AE,2,4,4,5,3,4,2,1,5,5,5,4,4,4,5,5,5,5,5,4,4,3,4,4,4,5,3,3,4,3,4,4,4,3,4,4,3,2,1,5,4,3,5,4,4,2,5,3,4,4,27,42,31,32,38,54.0,84.0,62.0,64.0,76.0
South East Asian,26,No,Female,Left,Another page,MY,2,2,3,4,4,2,5,3,3,4,5,2,5,3,4,4,3,3,3,3,5,5,3,5,2,3,2,4,3,3,1,5,5,5,2,4,1,4,2,4,3,1,5,1,5,2,5,3,4,5,32,37,35,21,44,64.0,74.0,70.0,42.0,88.0
Caucasian (European),41,Yes,Female,Right,Another page,US,3,2,4,2,4,2,4,3,3,2,2,4,5,3,2,2,1,1,2,2,1,5,1,5,2,4,1,4,5,4,4,4,5,3,2,4,3,2,4,4,5,1,5,1,3,1,5,4,4,4,37,22,46,33,45,74.0,44.0,92.0,66.0,90.0
Caucasian (Indian),30,No,Female,Right,Another page,IN,3,1,4,2,4,4,4,3,3,4,4,4,4,4,4,4,4,4,4,4,4,4,1,4,3,5,2,2,3,5,4,2,4,4,4,2,4,3,4,4,4,3,4,3,5,2,5,4,4,4,34,36,37,37,40,68.0,72.0,74.0,74.0,80.0
South East Asian,18,No,Female,Right,Another page,PH,1,2,3,3,3,3,2,1,2,5,3,3,4,2,2,4,4,4,3,2,4,2,2,4,3,4,3,4,4,4,4,1,4,2,1,2,5,3,4,5,4,2,5,2,4,1,4,4,5,5,27,33,34,39,44,54.0,66.0,68.0,78.0,88.0
Caucasian (European),17,Yes,Female,Right,Another page,NZ,1,3,4,3,2,2,2,4,3,4,2,4,3,3,3,2,3,3,4,3,2,4,3,4,2,4,2,4,3,2,2,4,4,4,2,4,4,3,4,3,5,2,5,2,4,2,4,5,5,5,26,28,36,28,45,52.0,56.0,72.0,56.0,90.0
Caucasian (Indian),19,No,Female,Right,Another page,IN,3,4,3,3,3,3,1,3,5,5,5,4,4,2,4,4,4,5,4,3,3,2,5,3,5,2,5,2,2,4,2,1,4,1,3,1,4,2,3,5,1,1,4,3,4,1,5,3,2,5,27,39,21,40,37,54.0,78.0,42.0,80.0,74.0
Other,19,No,Female,Right,Another page,IN,1,3,5,3,1,5,1,2,3,5,4,4,3,3,3,5,4,5,4,3,5,3,1,5,2,5,3,3,4,3,2,5,2,3,3,5,1,3,1,3,1,4,3,3,3,4,5,1,3,3,23,36,36,20,26,46.0,72.0,72.0,40.0,52.0
Caucasian (European),40,No,Male,Right,Another page,GB,1,4,4,4,4,2,2,4,3,4,2,2,4,1,2,2,2,1,2,1,1,4,1,4,1,2,2,4,4,4,3,1,4,1,3,1,2,2,4,3,2,2,3,2,4,1,4,2,4,4,26,25,41,38,36,52.0,50.0,82.0,76.0,72.0
Caucasian (Indian),23,No,Female,Right,Another page,IN,1,3,3,3,3,2,3,5,1,3,2,3,4,1,4,4,3,1,5,3,1,3,1,4,1,5,3,4,4,3,5,1,4,1,3,1,1,3,4,5,3,3,3,3,4,1,4,1,2,4,25,34,41,40,32,50.0,68.0,82.0,80.0,64.0
Caucasian (European),47,No,Male,Right,Another page,EE,2,4,3,3,3,2,2,4,3,4,2,4,2,4,2,2,2,2,2,2,3,3,2,4,3,4,3,3,3,3,2,3,3,2,3,4,3,3,3,3,4,2,3,2,4,3,3,3,4,4,26,20,33,29,36,52.0,40.0,66.0,58.0,72.0
South East Asian,27,No,Female,Right,Another page,IN,4,3,5,1,5,3,3,4,5,3,3,3,3,3,3,4,3,3,2,5,1,4,1,5,3,5,3,5,5,1,3,5,3,2,4,4,5,1,5,4,4,1,5,1,5,1,5,2,5,5,38,32,41,36,46,76.0,64.0,82.0,72.0,92.0
Other,18,Yes,Female,Right,Google,AU,2,1,4,1,5,2,5,2,4,1,3,4,4,4,4,4,3,3,4,2,4,5,4,4,1,5,2,4,3,3,5,4,2,4,2,4,4,3,4,3,4,2,5,1,4,1,5,5,5,4,43,31,37,29,46,86.0,62.0,74.0,58.0,92.0
Caucasian (European),24,Yes,Female,Right,Another page,AU,4,1,4,1,4,2,5,2,5,2,4,2,5,2,2,2,5,3,2,4,1,5,2,5,2,4,2,4,4,5,2,5,2,5,1,5,3,3,2,3,3,4,4,3,5,2,2,1,5,5,44,35,44,19,34,88.0,70.0,88.0,38.0,68.0
Other,27,No,Male,Right,Another page,IN,2,4,2,4,4,3,2,2,4,4,3,2,4,2,3,3,4,4,4,2,4,2,3,3,1,5,2,3,4,3,2,3,4,2,3,3,3,3,3,4,3,2,4,2,4,2,4,4,3,4,27,35,34,32,38,54.0,70.0,68.0,64.0,76.0
Caucasian (European),58,No,Female,Right,Another page,IS,2,5,5,5,5,4,4,3,4,4,1,1,4,5,1,1,1,1,1,1,1,5,1,5,1,5,1,5,5,5,4,1,5,1,5,1,5,1,5,5,5,2,4,4,4,1,4,2,3,4,29,17,50,49,37,58.0,34.0,100.0,98.0,74.0
Caucasian (Middle East),27,No,Male,Right,Another page,DK,1,1,4,1,5,1,4,3,4,1,1,2,2,3,1,1,1,1,1,1,5,5,1,4,1,2,1,5,4,5,5,1,5,1,1,1,2,1,5,5,5,1,5,1,5,1,5,1,5,5,41,16,41,43,46,82.0,32.0,82.0,86.0,92.0
Caucasian (European),26,Yes,Other,Right,Another page,US,1,3,3,4,3,3,2,4,3,5,5,3,5,1,4,4,5,5,4,5,1,5,1,5,1,5,1,5,5,4,3,3,5,3,3,2,4,2,3,4,5,1,5,1,4,1,5,5,5,5,23,45,49,36,49,46.0,90.0,98.0,72.0,98.0
Caucasian (Indian),20,No,Male,Right,Another page,IN,1,3,1,5,1,5,3,4,5,5,1,1,5,5,5,3,5,5,5,5,4,5,1,5,5,5,5,1,5,5,2,5,5,5,1,4,5,5,1,1,1,5,1,1,2,3,4,1,5,2,19,40,35,20,25,38.0,80.0,70.0,40.0,50.0
North East Asian,21,Yes,Male,Right,Google,US,1,5,3,3,1,1,2,4,3,5,5,2,5,2,3,4,4,3,4,4,4,4,1,4,2,4,2,3,4,3,2,4,3,4,1,4,3,2,1,4,3,3,4,2,3,2,3,2,4,5,22,40,37,24,35,44.0,80.0,74.0,48.0,70.0
Mixed Race,21,No,Male,Right,Another page,BR,2,5,3,5,2,5,1,5,3,5,1,4,5,4,5,5,5,5,5,5,1,2,1,5,1,5,3,3,4,5,5,1,5,2,2,5,5,3,2,5,5,1,5,1,5,1,5,5,5,5,16,40,42,37,50,32.0,80.0,84.0,74.0,100.0
South East Asian,17,No,Female,Right,Another page,PH,2,3,4,2,4,2,3,4,3,3,2,2,2,4,5,3,3,4,3,4,4,5,2,5,2,4,2,4,5,4,4,1,5,2,4,2,5,2,4,4,4,3,4,2,4,1,5,4,4,4,32,32,41,43,41,64.0,64.0,82.0,86.0,82.0
Caucasian (European),17,Yes,Female,Right,Another page,GB,3,1,2,4,4,2,4,2,2,5,5,2,5,4,5,5,5,5,5,4,1,4,4,4,1,4,1,5,5,4,3,5,5,4,2,5,5,4,4,4,4,3,3,2,3,4,1,2,2,2,31,45,43,29,26,62.0,90.0,86.0,58.0,52.0
Caucasian (European),17,Yes,Female,Right,Another page,GB,2,4,2,4,2,4,4,5,2,4,2,4,2,2,2,2,2,1,2,4,2,5,1,4,2,1,2,4,4,4,3,3,5,2,4,3,3,2,3,3,2,2,4,2,3,3,2,3,4,4,21,23,39,35,33,42.0,46.0,78.0,70.0,66.0
Caucasian (European),21,Yes,Female,Right,Another page,GB,2,5,4,5,3,4,2,4,4,5,4,5,3,4,5,1,1,1,5,2,2,5,2,4,2,4,2,3,4,3,1,4,3,5,2,5,4,2,4,3,3,4,3,3,3,2,2,2,2,2,22,25,39,25,26,44.0,50.0,78.0,50.0,52.0
Caucasian (European),40,No,Male,Right,Another page,NL,2,4,3,4,3,3,2,1,2,4,3,3,4,2,3,2,2,1,2,3,2,3,2,3,2,3,2,3,4,3,3,3,2,3,2,3,3,3,3,3,5,2,4,1,4,2,4,4,5,4,26,27,35,28,43,52.0,54.0,70.0,56.0,86.0
Caucasian (European),23,No,Male,Right,Google,TR,1,2,1,1,2,2,4,4,4,4,1,2,2,3,2,1,4,4,4,4,2,3,2,2,1,2,4,4,4,5,1,2,2,3,3,2,3,3,5,5,3,2,1,2,2,2,3,4,4,5,29,29,35,33,34,58.0,58.0,70.0,66.0,68.0
Caucasian (European),23,Yes,Female,Right,Another page,AU,3,5,2,4,3,3,4,4,4,5,5,1,5,1,4,5,5,5,5,5,2,4,1,5,2,5,2,5,4,5,4,4,2,4,4,2,5,1,5,5,4,1,4,4,5,2,5,3,5,3,25,49,45,38,40,50.0,98.0,90.0,76.0,80.0
Caucasian (European),37,No,Female,Right,Other or not provided,FR,5,3,3,3,3,4,5,5,2,5,4,2,4,1,4,1,4,3,1,3,1,5,1,5,1,5,1,5,5,5,3,3,5,1,4,2,4,1,3,5,4,3,2,1,3,5,5,5,4,2,28,33,50,41,34,56.0,66.0,100.0,82.0,68.0
Caucasian (Middle East),20,No,Male,Right,Another page,LB,4,2,3,2,5,1,2,3,4,3,2,4,4,1,1,4,3,3,3,5,1,5,2,5,1,5,1,4,5,5,3,2,5,3,3,2,4,3,2,5,5,2,5,2,5,1,4,5,5,5,37,32,48,36,47,74.0,64.0,96.0,72.0,94.0
"West African, Bushmen, Ethiopian",19,No,Female,Right,Google,NG,1,3,5,5,5,4,1,5,1,2,2,5,4,5,3,4,4,4,5,1,5,5,1,5,1,5,1,5,5,5,3,3,5,4,5,4,3,3,2,5,4,2,5,3,4,4,5,2,5,1,24,29,46,33,35,48.0,58.0,92.0,66.0,70.0
Caucasian (European),17,Yes,Female,Right,Another page,AU,2,5,3,4,2,5,2,5,2,4,3,3,4,2,4,5,4,4,2,4,1,5,2,5,1,5,2,4,5,3,3,4,3,4,2,4,4,4,2,3,4,1,5,1,4,2,4,4,5,5,18,37,45,25,45,36.0,74.0,90.0,50.0,90.0
Other,19,Yes,Female,Right,Other or not provided,MY,3,4,4,4,4,3,4,4,4,3,3,4,4,4,3,3,3,3,4,4,4,4,3,4,4,4,4,3,4,3,4,3,4,3,4,3,3,3,4,3,4,3,3,3,4,3,3,3,4,4,31,31,31,34,34,62.0,62.0,62.0,68.0,68.0
Caucasian (European),38,Yes,Male,Right,Another page,US,1,3,4,4,4,3,1,4,4,5,1,5,2,5,1,1,1,1,1,1,1,4,1,4,1,4,3,4,4,3,4,5,5,1,4,2,4,1,3,4,5,1,5,1,4,1,5,4,5,5,25,11,41,39,48,50.0,22.0,82.0,78.0,96.0
