race,age,engnat,gender,hand,source,country,E1,E2,E3,E4,E5,E6,E7,E8,E9,E10,N1,N2,N3,N4,N5,N6,N7,N8,N9,N10,A1,A2,A3,A4,A5,A6,A7,A8,A9,A10,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,O1,O2,O3,O4,O5,O6,O7,O8,O9,O10,E,N,A,C,O,E%,N%,A%,C%,O%
Caucasian (European),26,Yes,Female,Right,Another page,US,2,2,3,3,3,3,1,3,3,3,4,4,3,1,3,2,2,2,4,4,1,3,2,4,3,2,3,3,4,4,1,2,5,2,2,1,4,2,2,2,4,2,5,2,2,1,5,3,4,4,28,31,35,33,40,56.0,62.0,70.0,66.0,80.0
Other,19,No,Female,Right,Another page,LT,1,4,2,5,3,4,2,4,3,3,4,4,4,4,4,4,5,5,4,2,4,5,1,5,2,4,1,4,5,3,2,3,4,5,3,4,2,1,1,5,5,3,5,2,4,1,4,3,4,4,21,36,42,28,41,42.0,72.0,84.0,56.0,82.0
South East Asian,29,No,Female,Right,Another page,US,2,3,4,2,4,1,3,4,2,3,1,2,2,3,2,1,2,1,2,2,2,4,3,3,1,2,2,4,2,3,4,3,5,1,4,2,4,1,3,4,5,1,4,1,4,1,5,4,4,4,32,20,34,41,45,64.0,40.0,68.0,82.0,90.0
Caucasian (European),29,Yes,Female,Right,Google,US,2,3,1,4,2,4,1,3,3,4,3,3,5,2,3,3,4,3,3,3,1,4,1,4,2,4,3,5,4,3,4,2,4,2,4,1,5,2,4,4,4,2,5,3,4,2,3,4,5,3,21,34,41,42,39,42.0,68.0,82.0,84.0,78.0
Caucasian (European),21,Yes,Male,Left,Google,CA,3,3,4,3,4,3,3,3,4,3,3,4,3,5,3,2,2,2,2,2,1,4,2,4,2,5,2,4,4,3,3,4,5,3,2,4,3,2,4,3,3,2,4,2,4,2,5,2,5,3,33,22,41,31,38,66.0,44.0,82.0,62.0,76.0
Caucasian (European),52,Yes,Female,Right,Another page,US,3,4,4,4,2,3,3,3,4,5,4,4,4,3,2,2,3,2,1,3,1,4,1,5,3,3,3,3,4,4,3,5,4,3,1,5,4,4,2,4,4,3,4,4,4,2,4,4,5,4,27,26,39,25,38,54.0,52.0,78.0,50.0,76.0
Caucasian (European),19,No,Female,Right,Another page,GR,1,3,2,4,2,3,3,2,2,5,5,4,4,3,2,3,1,1,3,3,5,4,1,5,1,3,1,4,5,4,4,1,5,2,1,4,3,1,2,4,3,5,5,1,4,1,5,3,3,5,23,27,41,35,39,46.0,54.0,82.0,70.0,78.0
Caucasian (European),48,Yes,Male,Right,Google,US,5,5,4,1,5,1,5,1,5,2,3,4,4,5,3,3,4,3,3,2,4,5,4,4,4,4,1,2,4,5,2,5,2,5,1,5,3,3,5,5,4,1,5,1,5,1,4,4,2,5,44,28,35,24,44,88.0,56.0,70.0,48.0,88.0
Caucasian (European),22,Yes,Male,Right,.edu domain site,US,3,3,4,3,2,2,3,4,2,4,4,3,4,3,2,2,3,3,2,2,1,2,1,3,2,4,2,4,4,3,3,3,3,3,4,3,3,3,3,2,2,3,4,3,3,2,3,2,4,3,28,28,38,30,31,56.0,56.0,76.0,60.0,62.0
Mixed Race,17,Yes,Female,Right,Another page,US,2,4,3,4,2,2,4,5,1,5,5,4,5,1,3,4,5,4,4,4,3,5,5,4,1,5,1,4,2,3,2,5,3,4,1,2,2,5,3,1,4,3,3,1,4,2,3,3,5,5,22,41,37,20,39,44.0,82.0,74.0,40.0,78.0
