,race,age,engnat,gender,hand,source,country,E1,E2,E3,E4,E5,E6,E7,E8,E9,E10,N1,N2,N3,N4,N5,N6,N7,N8,N9,N10,A1,A2,A3,A4,A5,A6,A7,A8,A9,A10,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,O1,O2,O3,O4,O5,O6,O7,O8,O9,O10,E,N,A,C,O,E%,N%,A%,C%,O%
24,3,52,1,2,1,1,US,3,4,4,4,2,3,3,3,4,5,4,4,4,3,2,2,3,2,1,3,1,4,1,5,3,3,3,3,4,4,3,5,4,3,1,5,4,4,2,4,4,3,4,4,4,2,4,4,5,4,27,26,39,25,38,54.0,52.0,78.0,50.0,76.0
25,3,19,2,2,1,1,GR,1,3,2,4,2,3,3,2,2,5,5,4,4,3,2,3,1,1,3,3,5,4,1,5,1,3,1,4,5,4,4,1,5,2,1,4,3,1,2,4,3,5,5,1,4,1,5,3,3,5,23,27,41,35,39,46.0,54.0,82.0,70.0,78.0
26,3,48,1,1,1,2,US,5,5,4,1,5,1,5,1,5,2,3,4,4,5,3,3,4,3,3,2,4,5,4,4,4,4,1,2,4,5,2,5,2,5,1,5,3,3,5,5,4,1,5,1,5,1,4,4,2,5,44,28,35,24,44,88.0,56.0,70.0,48.0,88.0
27,3,22,1,1,1,4,US,3,3,4,3,2,2,3,4,2,4,4,3,4,3,2,2,3,3,2,2,1,2,1,3,2,4,2,4,4,3,3,3,3,3,4,3,3,3,3,2,2,3,4,3,3,2,3,2,4,3,28,28,38,30,31,56.0,56.0,76.0,60.0,62.0
28,1,17,1,2,1,1,US,2,4,3,4,2,2,4,5,1,5,5,4,5,1,3,4,5,4,4,4,3,5,5,4,1,5,1,4,2,3,2,5,3,4,1,2,2,5,3,1,4,3,3,1,4,2,3,3,5,5,22,41,37,20,39,44.0,82.0,74.0,40.0,78.0
29,3,37,2,1,1,3,DK,3,3,3,3,2,2,4,2,3,4,1,3,4,5,2,3,1,1,2,1,1,4,3,4,3,3,2,4,4,4,4,1,4,2,4,1,2,3,2,4,3,2,4,3,4,2,4,3,4,3,31,19,38,37,36,62.0,38.0,76.0,74.0,72.0
30,1,19,1,2,1,1,US,4,2,1,5,4,1,3,3,1,5,4,4,5,2,2,4,4,3,4,4,2,5,4,5,2,5,2,4,5,4,1,1,3,5,1,4,3,1,1,3,3,3,5,3,3,1,3,3,3,5,27,36,42,25,36,54.0,72.0,84.0,50.0,72.0
31,3,22,1,2,1,1,US,2,3,3,4,3,2,4,5,2,4,5,3,5,2,2,2,3,2,3,3,2,3,2,4,3,3,3,4,5,5,3,4,5,3,2,2,3,3,3,3,4,1,5,1,4,2,5,3,5,5,26,32,38,31,45,52.0,64.0,76.0,62.0,90.0
32,3,25,1,1,2,4,US,4,2,4,2,4,2,4,2,4,2,2,4,4,4,2,2,2,2,2,2,2,4,3,4,2,3,2,4,4,4,4,3,4,3,4,2,4,2,4,4,3,2,2,2,4,2,4,3,4,4,40,22,38,38,36,80.0,44.0,76.0,76.0,72.0
33,3,20,1,2,1,1,US,5,2,4,1,5,1,5,1,5,3,4,3,4,1,1,4,5,5,4,4,1,5,4,4,1,5,1,5,5,4,2,5,1,4,1,5,1,1,1,1,5,1,4,1,4,1,4,5,5,4,46,39,45,16,46,92.0,78.0,90.0,32.0,92.0
34,3,15,1,2,2,1,GB,1,4,3,4,3,3,1,5,1,5,3,3,4,3,1,3,4,2,4,4,4,3,3,3,3,5,5,3,3,3,2,5,3,5,1,4,3,5,2,3,2,3,4,3,2,3,3,1,3,3,18,31,29,19,27,36.0,62.0,58.0,38.0,54.0
35,3,46,1,2,2,3,US,1,2,3,3,3,1,1,4,2,3,4,2,5,1,4,5,4,4,3,5,1,3,1,5,3,4,4,2,5,3,5,2,5,1,2,1,5,1,4,5,5,1,4,3,3,2,5,5,5,3,27,43,37,45,42,54.0,86.0,74.0,90.0,84.0
36,3,15,1,1,1,1,GB,1,5,2,5,2,2,2,3,4,5,1,4,4,2,2,2,2,2,2,4,1,5,4,5,2,5,2,5,5,1,5,1,5,5,2,2,5,2,2,5,5,4,5,1,5,1,5,5,2,5,21,25,41,38,44,42.0,50.0,82.0,76.0,88.0
37,3,18,1,2,2,2,US,2,3,3,3,4,1,1,3,1,3,2,4,3,2,3,2,4,3,2,4,1,4,1,4,1,4,2,4,4,5,4,1,4,3,2,2,3,2,4,3,5,1,5,1,4,1,4,4,4,5,28,29,44,36,46,56.0,58.0,88.0,72.0,92.0
38,3,42,1,1,1,3,US,2,4,2,4,2,3,3,4,2,5,3,4,3,3,3,2,2,1,3,2,4,3,2,3,2,3,3,2,3,2,3,5,3,4,1,5,2,3,2,4,5,1,3,1,5,2,4,5,5,4,21,24,29,22,45,42.0,48.0,58.0,44.0,90.0
39,3,27,1,2,1,1,US,1,2,2,4,2,2,1,4,2,5,3,4,5,3,4,2,3,2,3,2,1,4,2,4,2,4,1,4,4,3,4,2,5,2,5,2,4,2,4,3,4,2,4,2,3,2,4,4,4,4,21,29,41,41,39,42.0,58.0,82.0,82.0,78.0
40,1,17,1,1,1,1,US,5,1,1,1,5,1,5,1,5,1,1,5,1,5,1,1,1,1,1,1,5,1,5,1,5,5,5,1,1,5,5,1,5,1,5,1,5,1,1,1,5,1,5,1,5,1,5,5,5,5,46,10,18,42,50,92.0,20.0,36.0,84.0,100.0
41,8,17,1,2,1,5,US,4,2,3,3,3,2,5,3,5,5,5,2,5,4,5,5,5,3,5,2,2,5,2,4,2,5,2,5,3,3,4,1,4,5,5,2,5,1,4,3,2,2,1,1,3,1,4,4,5,2,35,41,41,40,35,70.0,82.0,82.0,80.0,70.0
42,6,17,1,2,1,5,US,2,3,2,4,2,2,2,4,3,5,3,3,4,3,4,3,4,2,4,3,3,3,2,4,3,4,3,3,3,3,4,2,5,3,2,3,4,3,2,3,3,3,4,3,4,2,4,2,4,5,23,33,33,33,36,46.0,66.0,66.0,66.0,72.0
43,13,60,1,2,1,5,US,3,1,5,1,5,1,5,1,5,1,2,2,5,1,5,4,5,4,5,5,1,5,5,5,5,4,1,4,5,5,5,1,5,2,5,1,5,1,5,4,4,2,4,2,5,1,5,2,5,5,48,44,40,48,43,96.0,88.0,80.0,96.0,86.0
44,3,27,1,2,1,2,CA,1,3,4,5,3,3,3,5,1,5,4,2,5,3,4,5,4,4,3,4,1,5,1,5,1,5,1,5,5,5,5,4,4,3,2,4,3,2,4,4,4,3,5,4,3,1,5,4,5,2,21,40,50,33,38,42.0,80.0,100.0,66.0,76.0
45,3,19,1,2,1,2,US,4,2,4,3,5,2,5,2,5,3,5,2,4,2,4,3,3,3,3,4,1,4,2,4,2,3,1,3,5,4,5,3,3,3,4,3,5,1,5,5,5,2,4,2,5,1,4,4,4,5,41,37,41,41,44,82.0,74.0,82.0,82.0,88.0
46,3,20,1,1,1,1,US,1,5,2,5,2,3,1,4,2,5,3,4,3,3,2,2,2,2,4,3,4,3,4,2,3,2,4,3,3,3,3,3,4,2,2,3,3,3,2,4,4,3,5,3,3,2,3,3,4,3,16,26,25,31,35,32.0,52.0,50.0,62.0,70.0
47,4,19,1,1,1,1,IN,2,3,5,2,5,2,3,2,5,1,1,2,2,3,1,1,1,1,1,3,5,5,1,4,1,4,2,4,4,5,5,1,5,1,5,1,4,1,5,5,4,2,3,1,4,1,5,1,5,4,40,18,41,49,40,80.0,36.0,82.0,98.0,80.0
48,13,26,2,2,1,1,US,1,5,1,5,1,5,1,5,1,5,5,2,5,1,5,5,5,5,4,5,4,3,1,4,3,5,2,4,4,3,1,4,2,5,1,5,3,5,3,2,5,2,5,1,4,1,2,5,5,4,10,48,37,17,44,20.0,96.0,74.0,34.0,88.0
49,6,24,2,1,1,1,MX,1,2,3,5,4,1,1,3,4,4,4,3,5,3,4,4,4,4,5,3,4,3,5,4,1,5,3,3,3,2,4,5,4,4,1,4,3,4,2,3,4,2,5,2,5,3,5,4,4,5,28,39,31,24,43,56.0,78.0,62.0,48.0,86.0
